LTLA Code,D1.0-30,D1.30-35,D1.35-40,D1.40-45,D1.45-50,D1.50-55,D1.55-60,D1.60-65,D1.65-70,D1.70-75,D1.75-80,D1.80-150,D2.0-30,D2.30-35,D2.35-40,D2.40-45,D2.45-50,D2.50-55,D2.55-60,D2.60-65,D2.65-70,D2.70-75,D2.75-80,D2.80-150
E07000165,5441,4496,6905,8596,9964,11996,12367,10875,9287,10044,7316,10615,2817,1664,1896,2429,3559,6710,7373,8797,8879,9861,7190,10410
E07000166,1568,1292,2074,2327,2618,3456,3659,3512,3060,3178,2234,2867,734,391,437,426,554,1114,1511,2127,2680,3108,2206,2630
E07000167,1736,1409,1875,2386,2998,3860,4423,4059,3820,4021,2976,3946,887,494,530,667,1109,2116,3152,3577,3689,3973,2934,3907
E07000168,5064,4114,4323,4549,5625,7136,8280,8055,7518,8027,5788,7583,2233,1454,1521,1614,2297,4664,6079,6986,7106,7900,5711,7312
E07000169,3437,3546,4411,4737,5560,6616,6921,6092,5095,5335,3644,4345,1622,1037,1085,1311,1801,3958,4295,5360,4951,5254,3604,4136
E07000170,4836,4608,5678,6157,7115,8729,8724,7295,6398,6505,5176,6046,3321,2087,2408,2605,3340,4770,5766,6541,6133,6321,5044,5752
E07000171,4512,3856,5081,5649,6670,8411,8789,7556,6621,7128,5258,6385,2808,1566,1928,2674,3474,6249,6614,6672,6384,6997,5153,6202
E07000172,3911,4052,5196,5607,6101,7462,7540,6616,5887,6624,4821,6371,2725,1665,1718,1972,2418,3469,4675,5742,5618,6493,4697,6151
E07000173,3860,4070,5408,6195,6699,8148,8186,7060,6395,6767,4826,6669,2654,1670,2042,2319,3087,3950,4990,6264,6212,6645,4734,6455
E07000174,4218,4066,5216,5276,5823,7252,7637,6717,5746,5576,4227,5151,2894,1901,2288,2337,2836,4490,5141,6172,5546,5403,4093,4878
E07000175,4130,3824,5062,5656,6867,8567,8875,7906,6997,7523,5550,6854,2790,1563,1863,2119,2963,4380,5495,7078,6760,7357,5422,6560
E07000176,3816,3883,5903,6961,7330,8294,8228,7064,6278,6720,5041,7004,2521,1479,1775,2360,2618,3440,4828,6408,6105,6622,4958,6789
E07000177,4535,3704,7356,9208,9387,10803,10696,8760,7341,7440,5293,7400,2950,1908,2235,2473,3036,7068,7184,7187,6945,7307,5214,7278
E07000178,8240,5738,7786,8151,7737,7923,7514,6123,4891,4648,3434,5029,5263,2544,2401,2514,3434,5757,5242,4942,4572,4497,3258,4747
E07000179,4107,4239,6932,8519,9436,10860,10455,8705,7385,7736,6247,8479,2484,1608,1764,2189,3035,7296,6823,7367,7085,7641,6155,8274
E07000180,3646,3255,6427,8042,8469,9182,9286,8059,6788,7139,5355,7594,2257,1528,1677,1920,2333,6388,6104,6444,6540,7031,5278,7449
E07000181,3367,2274,4634,6136,6777,7902,8102,6958,5996,6359,4924,6846,2265,1279,1403,1697,2256,4786,5352,5742,5775,6259,4865,6763
E07000187,4180,2854,4247,5356,6472,8277,8415,7469,6880,7349,5353,7146,2425,1422,1687,2010,2592,5907,5868,6931,6609,7238,5290,7020
E07000188,3605,2287,4138,5542,6685,8690,9208,8069,7416,8100,5927,7686,2458,1448,1581,1730,2288,5853,5976,6370,6950,7855,5826,7504
E07000189,6453,4235,6323,7704,9167,11462,12253,11215,10666,11831,8798,11420,3847,2299,2401,2821,3814,9177,8279,9851,10273,11664,8679,11232
E07000192,3709,3829,4932,4860,5899,7323,7180,5908,5156,5230,3946,4689,2428,1658,1681,1866,3525,5570,4997,5402,4985,5148,3891,4574
E07000193,4159,4579,5650,6029,6837,8217,8172,7228,5968,6059,4594,5876,2393,1430,1622,2012,2869,4504,4799,6245,5723,5933,4513,5764
E07000194,3328,2933,4349,5247,6289,7635,7536,6392,5979,6758,5667,6352,2107,1202,1411,1738,2690,4991,5150,5839,5771,6636,5583,6221
E07000195,5379,3466,4825,5983,6852,8443,8409,7692,6667,7165,5244,7080,3396,1745,2002,2292,3179,5682,5314,6858,6423,7025,5129,6941
E07000196,4264,3385,4774,5151,6229,7983,8461,7660,6702,7180,5894,7375,2376,1456,1711,1842,3002,5158,5866,7025,6496,7078,5800,7209
E07000197,4802,5102,6377,6979,7893,9640,9564,8539,7706,8177,6529,8146,2884,1927,2179,2528,3532,6760,7201,8055,7501,8028,6422,8036
E07000198,3019,2633,3614,4243,5454,7325,7280,6624,6152,6861,5158,6339,1987,1192,1364,1540,2625,5029,4803,5946,5996,6758,5096,6244
E07000199,2585,2196,3000,3745,4452,5411,4905,4473,4195,4125,2945,3261,1602,945,1193,1201,1651,4351,3208,3958,4079,4063,2903,3170
E07000200,3197,2375,3472,4430,5217,6557,6817,6046,5762,6604,5034,6394,1885,1047,1188,1518,1997,4589,4924,5524,5603,6505,4970,6297
E07000202,6861,6091,7176,7489,7601,8278,7974,6912,5981,5808,4112,6235,3790,2435,2452,2713,3058,5002,5862,6408,5763,5657,4006,6044
E07000203,4281,2842,4228,4780,5881,7236,7801,7093,6582,7120,5170,6533,2591,1340,1444,1605,2414,4275,5897,6613,6439,7050,5112,6432
E07000207,3664,4266,7225,9704,10179,10055,9293,7411,6054,6133,4656,7320,2003,1192,1584,2241,2799,7271,6423,6452,5797,5971,4503,7116
E07000208,2473,2419,4164,5344,5502,5490,5232,4183,3500,3851,2827,4018,1533,916,1138,1482,1758,3323,3504,3617,3336,3770,2771,3923
E07000209,4788,4507,6455,7989,8872,9191,9257,7559,6302,6495,4748,7088,3170,1681,1807,2082,3039,5251,5654,5901,6074,6366,4678,6949
E07000210,2300,1919,3399,4779,5580,6452,6632,5718,5001,5030,4083,6105,1464,812,968,1234,1668,3249,4452,5152,4862,4940,4027,5989
E07000211,4608,5795,8064,9351,9591,9897,9791,8020,6544,6918,4978,7529,2900,2048,2297,2799,3303,6165,6288,7104,6299,6766,4893,7344
E07000212,2594,3209,4161,4834,5273,5490,5504,4529,3671,3747,2896,4446,1458,916,984,1311,1678,3992,3775,3859,3530,3650,2841,4287
E07000213,2620,3954,5402,6002,6045,6784,6967,5522,4401,4534,3565,5432,1474,997,1232,1514,1731,3978,3999,4613,4219,4430,3489,5267
E07000214,2647,3545,4431,5290,6014,6594,6453,5287,4327,4483,3530,5113,1717,1116,1146,1456,2329,4763,4713,4725,4172,4411,3497,5033
E07000215,3105,3177,4306,4976,5483,6257,6192,5284,4491,4639,3601,5120,1685,957,1200,1493,1986,4865,4875,4790,4335,4552,3526,5002
E07000216,3695,3523,5720,7416,8716,9225,8731,7516,6415,6940,5612,8508,2021,1179,1375,1754,2593,4572,5123,6021,6220,6804,5507,8354
E07000217,2780,3453,5879,6817,6756,6658,6360,5233,4348,4320,3154,4840,1652,1144,1374,1750,1912,4239,3827,4132,4114,4220,3093,4587
E07000218,2653,2480,2834,3036,3790,4839,4817,4285,3662,3880,2914,3523,1296,763,872,929,1629,2940,3186,3629,3570,3824,2854,3274
E07000219,4715,4105,5735,6508,7398,8830,8674,7495,6668,6801,5184,6158,2903,1959,2019,2265,2942,4338,5427,6279,6341,6623,5038,5966
E07000220,2865,2435,4506,5964,6404,7362,7187,5916,4934,5267,4378,5549,1941,1231,1473,1907,2330,4796,5170,5148,4797,5165,4301,5390
E07000221,4415,4272,5528,6727,8078,9850,10200,9083,8108,8823,7127,9228,2360,1360,1516,1972,2866,7831,8101,8492,7932,8682,7024,9053
E07000222,5053,5298,7904,8360,8712,9451,9259,7715,6839,7099,5618,7721,3299,1949,2135,2496,4289,7159,7025,6920,6604,6966,5499,7374
E07000223,1991,2354,3057,3568,4014,4364,4280,3779,3452,3947,3018,4332,1312,833,1016,1247,1663,3672,3120,3422,3333,3885,2973,4270
E07000224,4623,3774,4949,6840,8133,10419,11144,10491,10258,12223,9462,13329,3113,1908,2095,2345,3060,7308,6310,9204,9794,11989,9319,13068
E07000225,4283,2760,4188,5563,6530,7967,8940,8493,7779,8545,6818,9660,2419,1372,1489,1924,2475,5704,5721,8020,7547,8418,6698,9488
E07000226,4262,3882,6558,7169,6764,6964,6589,5702,4397,4019,2569,4018,2615,1674,2031,2418,2904,4419,3727,4926,4187,3947,2525,3927
E07000227,5899,5211,6703,7916,8743,10401,10826,9413,8141,8727,6584,9243,2937,1619,1984,2460,3080,6335,7218,8493,7895,8570,6491,9021
E07000228,4307,3860,7660,9047,9844,10601,10124,8491,7572,7976,6269,8729,2699,1755,2128,2605,3059,5244,5524,7286,7284,7838,6186,8606
E07000229,4348,3942,5080,5953,6607,7537,7464,6348,5573,6378,4723,7357,2686,1710,1955,2243,2825,5714,4925,5528,5179,6255,4611,7198
E07000234,3927,3404,4440,5347,6157,7100,7085,6092,5550,5674,4555,6337,2045,1277,1574,2056,3000,4709,4708,5456,5397,5597,4483,6217
E07000235,2825,2091,2873,3568,4281,5595,6176,5795,5285,5866,4407,6042,1431,769,1066,1412,1981,3763,4250,4916,5091,5747,4335,5927
E07000236,3344,2565,3796,4470,4685,5302,5161,4814,4641,4585,3073,3361,1609,1031,1212,1417,1709,2402,2795,3992,4397,4449,2996,3272
E07000237,4178,3186,4535,5452,5932,6875,6707,5469,4851,4745,3468,4653,2770,1555,1721,1851,2383,3773,4024,4498,4475,4524,3376,4526
E07000238,4155,3451,5200,6286,7492,9463,9939,8777,8209,8799,6626,8549,2648,1562,1845,2264,3328,6889,7586,8009,8079,8695,6557,8468
E07000239,3840,3811,4205,4669,5711,7199,7201,6125,6109,7054,5520,6337,1919,1161,1280,1601,2413,5032,5828,5532,5947,6962,5442,6261
E07000240,3719,3836,7842,10270,10870,10740,9662,7709,6279,6411,4799,7401,2293,1325,1719,2290,3275,8044,7288,6796,6086,6316,4727,7241
E07000241,3937,3029,5073,6248,6176,6973,7016,6020,4706,4538,3430,5480,2287,1261,1464,1930,2121,3767,4153,5178,4418,4429,3382,5371
E07000242,5042,4621,7323,8826,10029,10891,10600,8721,7004,7344,5132,7353,2795,1522,1805,2289,3390,6965,6119,7345,6789,7225,5058,7233
E07000243,3695,3174,4627,4961,4898,5749,5866,4797,3567,3353,2442,3666,2170,1493,1502,1535,1919,3323,3343,4059,3409,3289,2412,3579
E07000244,13516,9097,10044,11090,13533,16776,17928,17216,16149,18336,13786,18537,5519,2994,3335,3818,5383,11172,13001,15869,15629,18027,13614,18271
E07000245,5375,4830,7058,8493,9507,11391,11298,9771,8817,9900,7557,10013,3977,2438,2565,2950,3642,8420,7570,8390,8562,9742,7440,9774
E07000246,5911,3639,5769,7126,8245,10296,11061,10367,9772,10351,8004,11158,4244,2551,2653,2814,3571,7515,7288,9023,9439,10161,7913,11007
E08000001,19042,11073,13639,14514,16139,18441,17940,15309,13201,13674,9773,12031,5632,3722,4507,4959,6368,11470,12722,12869,12335,13253,9491,11598
E08000002,7459,6258,9115,9604,10575,12155,12465,10576,9009,9637,6813,8682,3802,2613,3197,3443,5006,7684,8710,9045,8440,9327,6609,8304
E08000003,34358,22936,28055,27364,25366,26614,23793,19765,15362,13098,8694,11682,15494,8180,8764,9481,10395,16573,14936,15292,13944,12360,8262,11020
E08000004,10422,7109,9291,10950,11990,14273,13694,11795,10293,10274,7341,9089,4902,3104,3713,4251,5122,8045,8576,9481,9476,9880,7111,8725
E08000005,11981,8323,9906,10610,11470,13472,13211,11714,10314,9961,6727,8266,4281,2753,3279,3747,4553,7741,8459,9198,9413,9515,6421,7702
E08000006,11924,10133,12043,11837,11905,13618,13742,11716,9138,9552,6695,9017,6642,4194,4393,4386,5075,10411,11434,10337,8473,9155,6448,8624
E08000007,11657,9242,14422,16284,17001,19321,19487,16983,14862,15305,11262,16251,6099,4133,5103,6222,7356,13836,13830,14827,14282,14984,11105,15969
E08000008,8773,9325,10763,11290,12512,15118,15246,12953,10744,11129,7672,9185,4833,3435,3951,4371,5252,10343,9771,10713,10116,10749,7333,8245
E08000009,9270,7839,12816,14667,14685,15353,15000,12531,10446,10417,7756,11421,4943,3283,4392,5541,6426,9641,10045,10426,9953,10150,7541,11057
E08000010,12872,10864,15089,15648,18234,22845,21608,18589,16148,17730,13147,14319,7291,4779,5359,5642,7290,16047,14273,15177,15225,17309,12854,13758
E08000011,6379,5008,6379,6475,7317,9723,10962,10016,7880,6667,4282,6398,3832,2633,2860,2981,3744,6010,7119,8382,7442,6461,4141,6132
E08000012,26209,17532,21087,21181,21525,25681,28392,25980,21264,19195,12704,17684,15026,7962,8474,8800,9940,16287,18699,20837,19516,18308,12040,16531
E08000013,8424,6400,8469,8747,10403,12381,12583,10987,9598,10200,7347,9154,5316,3224,3858,4118,5448,8771,8471,9763,9256,9972,7191,8857
E08000014,10571,7876,10977,11882,13906,18035,20111,18614,16081,15857,11992,17997,5974,3610,4272,4835,6089,11464,12492,14905,15224,15407,11682,17367
E08000015,13885,11332,14060,15247,17464,21068,22576,20586,18268,18505,12996,18284,6969,4500,5261,6338,8039,13211,16455,17685,17578,18074,12765,17658
E08000016,8764,10061,11370,11611,13436,17436,17083,14993,12953,12766,9379,11239,4950,3031,3304,3632,4605,8598,9194,11337,11956,12449,9193,10909
E08000017,15777,12163,14176,14795,16418,20053,20901,18817,16050,16007,11320,15070,6054,3869,4311,4609,5956,10930,12810,14325,15196,15667,11115,14586
E08000018,11953,11649,12992,13091,14974,18177,17681,15831,13647,13870,10388,12813,6061,3819,4185,4399,6416,12726,12513,12303,13143,13625,10223,12605
E08000019,30688,23064,25904,26887,28585,33496,32442,28175,23843,23925,18369,25489,15490,7399,7893,9652,12595,22157,21334,21805,22301,23390,18025,24796
E08000021,14079,9139,12627,13404,13468,15014,16030,14715,12140,11451,7610,11616,7655,3760,4046,4012,4766,6492,7895,8921,11218,11056,7376,11210
E08000022,7416,7438,10649,11769,12231,13692,14443,13076,11771,11517,7697,10761,4150,2831,3327,3699,4535,6652,8713,9292,11245,11287,7547,10515
E08000023,5088,6530,7323,7204,7790,9689,10615,10063,8452,8166,5445,7821,3236,2219,2464,2554,3331,6521,8100,8420,8185,8019,5358,7539
E08000024,10180,8080,12516,13513,15277,18436,19268,18219,15644,15179,10082,14001,6336,3961,4237,4568,5686,11175,12902,13320,14962,14831,9901,13717
E08000025,43401,34365,44242,51469,52358,57706,54102,47011,39069,35299,26538,38927,22522,13523,16115,19298,23475,35013,37905,39515,35887,33772,25547,37036
E08000026,13666,11640,15584,17214,17252,19313,18169,15606,12882,12262,9727,13658,7781,4454,5154,8039,8998,12272,12246,13011,12121,11854,9452,13164
E08000027,12775,9767,12885,15115,17356,21450,20718,17536,16073,16514,13445,17600,6309,4018,4634,5001,6741,10480,12045,15558,15123,16105,13165,17170
E08000028,12365,9869,13803,16497,17800,20036,18586,15782,13010,12032,9256,12527,6266,4119,4934,5724,6934,11453,12239,13448,12099,11598,8956,11951
E08000029,8067,6541,9548,11084,12457,14615,14712,12532,10585,11763,9254,12660,4068,2486,3055,3631,5257,9249,10999,11437,10239,11583,9099,12412
E08000030,11353,10070,13049,13811,14814,17535,16832,14625,12385,12115,9626,13721,6058,3842,4539,4907,5954,9777,10772,12294,11694,11795,9390,13243
E08000031,11192,8682,11676,13089,14017,15829,14835,12996,11270,10403,7912,11878,5275,3483,4104,4831,6153,9030,9715,11102,10499,10015,7646,11376
E08000032,22292,15778,23309,26301,27252,30008,29337,26726,22648,21273,13804,20788,10579,6296,8093,9623,10975,17238,18958,23006,21077,20580,13383,20070
E08000033,7565,6815,8984,10257,12129,14696,14211,12440,10425,10749,7473,9199,3996,2607,3052,4023,5879,9644,9212,10839,9859,10473,7291,8518
E08000034,15458,15104,19646,21640,24179,28030,26637,23209,20068,20599,14469,18564,9091,5342,6369,7381,9338,19379,18034,21199,19280,20212,14239,17962
E08000035,34084,26868,38985,41585,42333,46077,44965,38692,32317,33308,23273,33369,20958,11691,13011,14704,18538,30477,30923,34457,30864,32590,22706,31920
E08000036,12768,12437,16923,17111,20048,24555,23754,20642,17868,17999,12927,15796,7421,4782,5389,5483,7957,14965,14059,17561,17243,17731,12771,15582
E08000037,7201,6417,9245,9973,10630,12867,13537,12098,10326,10499,7247,10696,4088,2602,2912,3072,3713,6460,7781,8238,9426,10274,7109,10130
E09000001,356,370,527,461,484,500,483,386,339,312,204,244,151,93,102,91,119,209,278,321,316,299,201,241
E09000002,5743,5944,9438,11437,11167,11304,9782,7577,5405,4356,2998,4581,3191,2323,3278,4127,4630,6614,5866,5884,4768,4092,2827,4329
E09000003,14233,12534,19287,22592,21956,21828,20278,17401,14289,13503,9863,14768,8053,5292,6738,8315,12939,16775,16100,15693,13276,12913,9493,14114
E09000004,8143,7756,11126,13310,13575,15528,15395,12881,10160,10105,7521,11401,3997,2580,3203,4197,5599,9013,10666,11224,9720,9829,7344,11079
E09000005,13361,12474,17476,18416,18006,18143,16821,14317,11050,8726,6335,9199,6845,4814,5606,6486,9582,11439,11751,11989,9895,8054,5929,8237
E09000006,8882,8271,16075,20378,20448,21685,20812,17270,13889,14891,10901,16469,5475,3836,4881,5848,7185,12923,13979,14966,13234,14540,10665,15964
E09000007,10077,8666,12043,12178,11684,11710,10347,8425,6669,6140,4566,5887,5270,3261,3343,3591,4099,6711,6778,7157,6018,5793,4349,5598
E09000008,11301,10961,17410,19920,19622,21865,21721,17866,13941,12800,9003,13077,6124,4492,5323,6428,7279,12500,13417,14090,12537,12055,8448,11882
E09000009,11518,11369,17756,21707,21145,21129,19170,15723,12508,10621,7406,10581,6150,4121,4828,6066,7010,9854,12362,13470,11507,10075,7076,10128
E09000010,15676,11587,15034,17850,17797,18973,18271,15111,11635,10270,7511,11516,5220,3498,5047,7790,11547,14519,15261,13645,10891,9826,7158,10823
E09000011,9094,10348,15293,17003,15265,15535,13926,11144,8524,7481,5243,6742,4637,3606,4066,6622,8494,9965,9301,9108,7879,7154,5056,6429
E09000012,9768,11695,14354,13842,11937,12103,11109,8629,6316,4853,3077,4043,4631,3956,3649,3692,3986,5567,6166,6350,5528,4453,2850,3701
E09000013,8384,8089,9763,9838,9882,10123,8782,6487,5076,4579,3193,4236,4547,2457,2305,2371,2978,5697,5780,5223,4499,4300,3012,3955
E09000014,7095,7918,13878,15090,15076,14928,13560,10363,7811,6456,4409,5986,3771,2872,3228,3737,5000,8353,9424,8016,7032,6086,4129,5505
E09000015,11511,10056,14135,14927,13585,13965,13820,12694,10780,9353,7027,10677,6532,4408,5897,6723,6983,10642,10842,11635,10303,9056,6808,10288
E09000016,8054,6354,11219,12878,13261,15446,15628,13844,11187,11668,8402,12754,4485,2968,3540,4107,4788,8237,8424,11014,10427,11371,8205,12333
E09000017,11102,10503,16393,18322,17131,17839,16919,14082,11078,9951,7131,11083,6044,3792,4975,5899,6422,9947,12979,12072,10459,9615,6924,10763
E09000018,11366,10712,16110,18258,17065,16562,14803,12385,9861,8369,5784,7751,5421,3874,4601,5944,6593,10843,10567,10693,9200,8007,5561,7448
E09000019,9328,9710,12294,11522,10217,10939,10272,7861,5854,5088,3388,4394,4952,3370,2974,3120,3378,5475,5911,6219,5283,4759,3183,4120
E09000020,4980,5361,6962,7593,8113,8746,8380,6425,5135,4831,3667,4732,2183,1526,1634,2010,2667,5177,5865,5443,4664,4499,3399,4380
E09000021,7506,7168,9308,11218,11164,10678,9588,7762,6437,6351,4388,6129,3737,2184,2394,2950,3556,6357,6469,6640,6134,6154,4294,5980
E09000022,14029,16665,18294,17784,16817,16784,15296,11443,7988,6211,4124,5942,7963,5526,4797,5331,6364,10831,10403,9366,7098,5800,3827,5461
E09000023,8945,10877,17000,17343,15955,15892,15029,11468,7937,6353,4566,6635,4851,3985,4397,5027,6005,9420,9315,9090,7105,5966,4270,6184
E09000024,7132,8621,13135,14120,13049,12663,11380,9401,7403,6615,4526,6883,4300,3010,3298,4089,4612,8782,8203,7973,6949,6338,4323,6516
E09000025,12705,12001,18670,19307,17149,16483,13931,11301,8177,5731,3598,4998,6568,4802,5823,6461,6899,9329,8448,8350,7100,5230,3300,4579
E09000026,12372,11504,16129,17984,16349,16327,15029,13017,10485,9122,6280,9611,5791,3633,4959,6109,6654,8944,9357,10331,9662,8662,6014,9081
E09000027,6238,6910,10532,13819,14385,13937,12660,9851,8035,8430,5966,7794,2807,1789,2216,2976,4516,8008,8135,8585,7643,8195,5810,7555
E09000028,12331,12510,17159,17373,16590,16938,15419,11749,7676,6052,3964,5565,6651,4562,4476,4732,5845,10019,9843,8925,6700,5644,3652,5068
E09000029,6811,6144,11100,13607,12975,13081,12606,9916,8127,8021,5700,8400,4384,2694,3364,4280,4817,6945,8135,8288,7738,7808,5564,8047
E09000030,14043,14292,18053,17801,14259,12129,9706,7796,5607,4038,2614,3956,6193,4341,4472,4793,4521,5682,5347,5829,4632,3645,2295,3528
E09000031,7499,9713,14981,15848,14180,14538,13017,10500,7866,6542,4675,6564,3801,3182,3836,4136,4880,8473,8613,8377,7072,6191,4406,6150
E09000032,15444,18175,21282,20179,17753,16398,14262,10933,8298,7784,5272,7444,9142,5490,4810,5312,6600,10731,10463,9496,7697,7391,5032,7066
E09000033,9254,8958,10936,11091,11195,11436,10547,8413,6315,5611,4289,5668,3978,2661,2856,3228,4074,7105,7676,6979,5611,5200,3996,5252
